gamma_mr,gamma_mc,ie_over_iw,in_over_ie,d_ie_iw_dlog_mr,d_ie_iw_dlog_mc,d_in_ie_dlog_mr,d_in_ie_dlog_mc,det_j,abs_det_j,cond_j,good_invertibility,good_condition,good_both
0.0222,3.56,3.5834344241321916,1.2982442472419888,-0.017210307802170657,-0.09777662404709876,-0.006842850767190713,-0.5039644344624614,0.008004312191571815,0.008004312191571815,32.937298764576646,1,0,0
0.0222,4.71,3.582649727563802,1.2381721853860197,-0.01654258427845091,0.02317258331707004,-0.005383144504818903,-0.4671121693624713,0.00785198379371446,0.00785198379371446,27.859397726624174,1,0,0
0.0222,6.25,3.5890984991212638,1.1840680106361967,-0.016337309471948135,0.1394243783301842,-0.004193070537232545,-0.4070414245397792,0.0072345779735572555,0.0072345779735572555,25.5887272989256,1,0,0
0.0222,8.29,3.616883100368485,1.1382298295361686,-0.01679549205734516,0.306945178016047,-0.003289609824255007,-0.3370334792144861,0.006670372996315597,0.006670372996315597,31.165541751818136,1,0,0
0.0222,11.0,3.6644574286486726,1.1013220220115634,-0.017912594708732774,0.40589345659041215,-0.0026505431041211783,-0.26667847371043407,0.005852741519492079,0.005852741519492079,40.331471344170396,1,0,0
0.0222,14.6,3.716651032221914,1.072680707322141,-0.019607149144561187,0.47789962496314764,-0.0022342614368180804,-0.20455196673953144,0.0050784336224002965,0.0050784336224002965,53.2691131846191,1,0,0
0.0222,19.3,3.78114361081564,1.0513776679949203,-0.021931987413197452,0.47914741836431785,-0.001981846236950804,-0.15103137736505345,0.004262014775398243,0.004262014775398243,59.31603382988249,1,0,0
0.0222,25.6,3.8335089111243095,1.0358461012486342,-0.02471298913282624,0.38566680095567407,-0.0018588942593161985,-0.10816415234887009,0.003389973323864334,0.003389973323864334,47.487443239888755,1,0,0
0.0222,33.9,3.8754940584347475,1.0249161313390074,-0.027854289237656923,0.20299627317656865,-0.0018237722152131643,-0.07549137264792245,0.002472977491494222,0.002472977491494222,19.230674984168736,1,0,0
0.0222,45.0,3.883237425492965,1.0173527873040653,-0.031009739670756008,-0.11795966625257791,-0.0018630398377790164,-0.05130592557192541,0.0013712198380729209,0.0013712198380729209,12.69221679394589,1,0,0
